"POINT_ID","coarse","clay","silt","sand","pH_in_H2O","pH_in_CaCl","OC","CaCO3","N","P","K","CEC","Notes","sample_ID","GPS_LAT","GPS_LONG","X","Y"
"47482710.00","20",12,33,55,5.27,5.04,50.4,0,5.1,19.3,63.9,14,NA,"318",47.3568,15.65417,15.65417,47.3568
"47482656.00","3",27,57,16,4.62,4.19,63.9,3,5.3,10.4,112.9,15.2,NA,"51",46.87232,15.60198,15.60198,46.87232
"47462848.00","18",25,61,14,7.61,7.18,11.3,1,1.3,52.1,218.8,15.4,NA,"346",48.59576,15.76638,15.76638,48.59576
"47462830.00","13",33,45,22,6.96,6.46,16.4,1,1.7,56.1,361.3,22.4,NA,"362",48.43438,15.74776,15.74776,48.43438
"47462794.00","8",14,41,44,4.73,4.05,16.1,0,1.2,0,127.7,3.8,NA,"370",48.11161,15.71113,15.71113,48.11161
"47462764.00","11",40,57,3,7.09,6.66,55.5,19,3.5,0,106,33.4,NA,"449",47.84259,15.68097,15.68097,47.84259
"47462736.00","16",18,44,38,5.45,5.27,42,2,4.1,23.6,77.4,16.4,NA,"302",47.59142,15.65325,15.65325,47.59142
"47462712.00","11",9,27,64,5.35,4.93,37.6,1,3.7,18.4,217,9.4,NA,"317",47.37614,15.62974,15.62974,47.37614
"47462692.00","17",14,31,55,5.15,4.69,21.5,0,2,0,69.3,10.5,NA,"277",47.19672,15.61031,15.61031,47.19672
"47462636.00","3",22,36,42,4.76,3.83,19.9,1,1.5,0,93.2,10.3,NA,"99",46.69415,15.5569,15.5569,46.69415
"47442674.00","16",18,56,26,6.7,6.1,21.3,1,2.3,38.5,217.7,21.4,NA,"290",47.036444,15.56672,15.56672,47.036444
"47442670.00","5",19,54,27,4.33,3.83,13.1,0,1.1,11.2,122.7,7.7,NA,"292",47.00064,15.56295,15.56295,47.00064
"47442660.00","9",21,50,29,5.56,5.13,11.1,1,1,13.1,102.7,12.4,NA,"293",46.91088,15.55348,15.55348,46.91088
"47442642.00","5",19,42,39,7,6.15,16.5,0,1.6,12.7,64.3,14.9,NA,"98",46.74932,15.53648,15.53648,46.74932
"47422872.00","13",11,52,36,4.24,3.82,33.7,2,1.8,41.4,45.2,6.8,NA,"355",48.81371,15.73694,15.73694,48.81371
"47422854.00","15",11,42,47,5.18,4.41,54.6,2,3.1,23.8,147.1,11.1,NA,"345",48.6523,15.71855,15.71855,48.6523
"47402788.00","5",24,35,41,5.72,5.48,28.5,1,3,11.5,96.1,14.6,NA,"369",48.06182,15.62483,15.62483,48.06182
"47402780.00","38",39,55,6,7.14,6.72,53.4,22,4,0,158.1,33.4,NA,"372",47.99018,15.61684,15.61684,47.99018
"47402702.00","31",22,43,35,4.06,3.61,153.9,0,7,24.1,101.4,18.2,NA,"285",47.29046,15.54089,15.54089,47.29046
"47382732.00","23",6,23,71,4.42,3.59,56.6,0,3.5,34.6,89.4,10.2,NA,"300",47.56105,15.54336,15.54336,47.56105
"47382700.00","14",23,46,31,6.8,6.62,53.8,8,5.7,18.7,88.6,26,NA,"287",47.27392,15.51265,15.51265,47.27392
"47382664.00","11",16,36,48,5.33,4.94,16.8,3,1.8,47.2,213.8,3.8,NA,"294",46.95068,15.47879,15.47879,46.95068
"47382634.00","20",16,28,56,6.03,5.6,41.4,1,3,0,186.9,15.5,NA,"93",46.6815,15.45084,15.45084,46.6815
"47362862.00","21",13,51,36,6.19,5.6,18.6,0,1.9,12.1,75.7,9.3,NA,"352",48.72819,15.64551,15.64551,48.72819
"47362856.00","9",25,60,15,7.67,7.12,12.9,3,1.4,16.8,201.7,17.7,NA,"398",48.67443,15.63923,15.63923,48.67443
"47362816.00","10",27,42,31,7.45,6.63,17,0,1.6,42.3,254.6,18.5,NA,"371",48.31575,15.59901,15.59901,48.31575
"47362808.00","7",29,42,29,7.35,6.7,13.5,3,1.6,136.3,514.4,15.9,NA,"381",48.24413,15.58997,15.58997,48.24413
"47362636.00","4",22,48,31,6.28,5.48,30.2,14,1.3,0,82.8,9.8,NA,"94",46.70079,15.42657,15.42657,46.70079
"47322870.00","20",28,41,31,6.93,6.56,14.4,4,1.7,38,326.5,16.4,NA,"356",48.80273,15.59906,15.59906,48.80273
"47322802.00","18",23,58,19,7.72,7.32,22.4,136,1.9,16.3,338.4,17.7,NA,"373",48.19296,15.53145,15.53145,48.19296
"47322798.00","6",22,75,3,7.51,6.84,16.3,2,1.9,99.6,1020.8,13.9,NA,"374",48.15717,15.52842,15.52842,48.15717
"47322686.00","24",27,53,20,6.06,5.76,83.8,4,4,0,111.9,26.4,NA,"282",47.15221,15.4206,15.4206,47.15221
"47322640.00","23",30,51,19,6.56,6.18,25.3,1,2.4,0,120.3,26.3,NA,"104",46.73934,15.3781,15.3781,46.73934
"47302860.00","6",12,35,53,4.86,3.88,15.6,0,1,0,60.6,5.3,NA,"343",48.71435,15.56195,15.56195,48.71435
"47302846.00","18",13,37,50,6.33,5.68,21.1,0,1.9,30.2,118.6,8.8,NA,"385",48.58884,15.54801,15.54801,48.58884
"47302738.00","39",14,34,52,4.84,4.41,71.5,1,4.9,30.6,99.5,10.3,NA,"310",47.62019,15.44301,15.44301,47.62019
"47302694.00","23",16,46,38,6.13,5.96,61.1,2,6.1,83.3,214.2,21.6,NA,"288",47.22535,15.40163,15.40163,47.22535
"47302662.00","7",20,49,31,5.91,5.44,16.8,0,1.5,44.1,140.7,12.7,NA,"295",46.93805,15.37188,15.37188,46.93805
"47282676.00","5",24,55,21,4.33,3.56,18.2,0,1.2,0,55.4,9.9,NA,"297",47.06507,15.35869,15.35869,47.06507
"47262792.00","12",26,62,12,7.11,6.8,46,21,5,21.6,125.3,33.7,NA,"375",48.10724,15.44129,15.44129,48.10724
"47242774.00","18",50,48,3,6.3,5.87,72,7,5.4,10.1,298.9,47.4,NA,"376",47.94696,15.39734,15.39734,47.94696
"47242700.00","24",23,45,33,6.98,6.7,115.9,27,6.2,0,88.3,36,NA,"284",47.28316,15.32823,15.32823,47.28316
"47242638.00","11",20,45,35,4.33,3.86,44.5,0,2.1,0,146.6,9.1,NA,"97",46.72655,15.27188,15.27188,46.72655
"47222878.00","6",19,50,31,4.44,3.66,23.1,0,1.8,33.4,141.3,11,NA,"353",48.88106,15.47135,15.47135,48.88106
"47222780.00","25",43,51,5,5.42,4.59,68.2,1,4.2,0,127,27.9,NA,"377",48.00218,15.37632,15.37632,48.00218
"47202848.00","3",12,24,65,5.45,4.93,26.4,0,2.8,11.6,51.9,9.3,NA,"386",48.61348,15.41474,15.41474,48.61348
"47202670.00","29",24,32,45,5.84,5.46,21.8,1,2.3,0,1019,14.3,NA,"298",47.01638,15.24828,15.24828,47.01638
"47182862.00","7",21,54,25,4.8,4.19,18.7,0,2.1,18.4,61.5,9.8,NA,"354",48.74036,15.40149,15.40149,48.74036
"47182802.00","8",19,74,8,5.37,4.61,15,0,1.4,0,77.9,10,NA,"379",48.20222,15.34367,15.34367,48.20222
"47182790.00","7",18,60,21,6.35,5.45,12.5,0,1.6,17,109.2,12.1,NA,"378",48.09424,15.33188,15.33188,48.09424
"47182762.00","19",45,50,5,6.89,6.61,92,90,5.1,0,96.3,55.1,NA,"315",47.84333,15.30601,15.30601,47.84333
"47162666.00","13",21,40,38,4.83,4.5,37.5,2,3.2,18.9,64.3,6.4,NA,"299",46.98299,15.19225,15.19225,46.98299
